19:43:55:601 [ALWAYS]	GUDE Logging Started
19:43:55:602 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:43:55:602 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:43:55:602 [ERROR]	Initialize resume cache pointer failure
19:43:55:602 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
19:43:55:602 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
19:43:58:025 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
19:43:58:026 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:43:58:026 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:43:58:026 [ERROR]	Initialize resume cache pointer failure
19:43:58:026 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
19:43:58:026 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
